Model,Days,Alpha,Total Irrigation (mm),P(s >= s*),P(s <= sfc),P(s >= sw),Violations,RY,Return
DDPG-L,1,0.75,3660.0,1.0,0.0246,1.0,357,,
SAC-L,1,0.75,2028.78,0.9918,0.7978,1.0,77,,
DDPG-L,1,0.85,3660.0,1.0,0.0246,1.0,357,,
SAC-L,1,0.85,2095.71,1.0,0.6776,1.0,118,,
DDPG-L,1,0.95,3660.0,1.0,0.0246,1.0,357,,
SAC-L,1,0.95,1961.83,1.0,0.7213,1.0,102,,
DDPG,1,1.0,390.99,0.2322,1.0,0.3661,513,,
DDPG-L,1,1.0,3660.0,1.0,0.0246,1.0,357,,
SAC,1,1.0,1913.03,1.0,0.9044,1.0,35,,
SAC-L,1,1.0,2030.68,1.0,0.7268,1.0,100,,
DDPG-L,3,0.75,3253.33,1.0,0.0519,1.0,347,,
SAC-L,3,0.75,2734.69,1.0,0.1148,1.0,324,,
DDPG-L,3,0.85,3253.33,1.0,0.0519,1.0,347,,
SAC-L,3,0.85,2806.69,1.0,0.1066,1.0,327,,
DDPG-L,3,0.95,3253.33,1.0,0.0519,1.0,347,,
SAC-L,3,0.95,2779.51,1.0,0.1148,1.0,324,,
DDPG,3,1.0,3253.01,1.0,0.0519,1.0,347,,
DDPG-L,3,1.0,3253.33,1.0,0.0519,1.0,347,,
SAC,3,1.0,1835.29,0.9781,0.9208,1.0,37,,
SAC-L,3,1.0,2768.46,1.0,0.1066,1.0,327,,
DDPG-L,7,0.75,3178.23,1.0,0.1694,1.0,304,,
SAC-L,7,0.75,3138.74,1.0,0.1721,1.0,303,,
DDPG-L,7,0.85,3178.54,1.0,0.1694,1.0,304,,
SAC-L,7,0.85,3139.58,1.0,0.1694,1.0,304,,
DDPG-L,7,0.95,3177.06,1.0,0.1694,1.0,304,,
SAC-L,7,0.95,3141.87,1.0,0.1694,1.0,304,,
DDPG,7,1.0,0.65,0.1148,1.0,0.2131,612,,
DDPG-L,7,1.0,3175.73,1.0,0.1694,1.0,304,,
SAC,7,1.0,1275.5,0.6749,0.7514,0.8224,275,,
SAC-L,7,1.0,3144.51,1.0,0.1694,1.0,304,,
